vehicle_idx,dept_name,equipmentid,vehicledescription,vehicle_type,deptid,purchasedate,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,current_age,county,solution_idx,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
1,Baltimore County Department of Library,26142,2002 FORD VAN CARGO',ICE,BS001-2180,4/9/2002,21913,7000,3641,134821,46.82,6064.33,12,734.57175,R102,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2,,,,,,,19,Baltimore County,0,,,,,,,,,,,,,,,,
1323,Baltimore County Department of Library,31689,2019 DODGE Grand Caravan',ICE,BS001-2180,8/29/2019,22796,20685.26,4352,4352,192.05,192.05,20,526.8096,R1424,Chrysler Pacifica Hybrid,40000,82,HEV,984.6,,,,,,,2,Baltimore County,0,,,,,,,,,,,,,,,,
287,Board of Election Supervisors,30121,2008 CHEVROLET UPLANDER',ICE,10050501,9/12/2008,17386,4000,4869,101554,159.07,5396.32,19,620.4131053,R388,Ford Escape,29000,39,HEV,1110.2,,,,,,,13,Baltimore County,0,,,,,,,,,,,,,,,,
8,Bureau of Corrections,26785,2001 GMC VAN 12PSG',ICE,10080801,7/17/2001,22072,5500,2479,105705,328.22,20288,14,428.6899286,R109,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,20,Baltimore County,0,,,,,,,,,,,,,,,,
27,Bureau of Corrections,27253,2005 FORD CROWN VICTORIA',ICE,10080801,2/3/2005,20580.12,4500,3011,126519,685.3,11424.02,16,455.6019375,R128,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,16,Baltimore County,0,,,,,,,,,,,,,,,,
45,Bureau of Corrections,27398,2006 FORD CROWN VICTORIA',ICE,10080801,9/15/2005,20580.12,4800,3761,109509,180.87,10978.5,17,535.6106471,R146,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,16,Baltimore County,0,,,,,,,,,,,,,,,,
52,Bureau of Corrections,27472,"2006 CHEVROLET VAN,PRISONER TP'",ICE,10080801,1/19/2006,25400,7000,7395,158480,235.1,14207.37,15,1193.553,R153,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,15,Baltimore County,0,,,,,,,,,,,,,,,,
121,Bureau of Corrections,27809,"2007 CHEVROLET VAN,PRISONER TP'",ICE,10080801,4/12/2007,28113,7500,4525,165688,706.74,14080.29,14,782.5017857,R222,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,14,Baltimore County,0,,,,,,,,,,,,,,,,
222,Bureau of Corrections,28096,2008 FORD CROWN VICTORIA',ICE,10080801,4/10/2008,21664,6000,3812,174952,382.09,17012.23,18,512.714,R323,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,13,Baltimore County,0,,,,,,,,,,,,,,,,
229,Bureau of Corrections,30021,2008 FORD CROWN VICTORIA',ICE,10080801,3/19/2008,21734,6000,1230,130689,205.93,9273.49,18,165.435,R330,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,13,Baltimore County,0,,,,,,,,,,,,,,,,
367,Bureau of Corrections,30263,2009 FORD CROWN VICTORIA',ICE,10080801,4/27/2009,22287,6000,4498,175175,568.83,22853.7,19,573.1398947,R468,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,12,Baltimore County,0,,,,,,,,,,,,,,,,
524,Bureau of Corrections,30643,2010 CHEVROLET VAN 12PSG',ICE,10080801,7/14/2010,25494,13000,4622,52264,574.49,3529.12,14,799.2758571,R625,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,11,Baltimore County,0,,,,,,,,,,,,,,,,
1324,Bureau of Corrections,31690,2019 DODGE Grand Caravan',ICE,10080801,8/14/2019,22796,20685.26,8546,8546,97.06,97.06,20,1034.4933,R1425,Chrysler Pacifica Hybrid,40000,82,HEV,984.6,,,,,,,2,Baltimore County,0,,,,,,,,,,,,,,,,
343,Cigarette Restoration/Tobacco Program,30201,2009 HONDA CIVIC',HEV,50301525,3/16/2009,20759,6000,5359,110248,747.11,9776.91,29,447.3841034,R444,Ford Fusion,36000,103,PHEV,1023.6,,,,,,,12,Baltimore County,0,,,,,,,,,,,,,,,,
64,Community Planning,27539,2006 GMC SAVANA',ICE,10121204,7/25/2006,17090,4000,1716,175882,399.71,9200.08,14,296.7454286,R165,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,15,Baltimore County,0,,,,,,,,,,,,,,,,
195,County Council,27952,2008 CHEVROLET IMPALA',ICE,10484801,2/11/2008,15990,4300,9440,113853,568.37,9999.1,22,1038.829091,R296,Ford Fusion,36000,103,PHEV,1023.6,,,,,,,13,Baltimore County,0,,,,,,,,,,,,,,,,
775,County Council,31083,2014 FORD FUSION',ICE,10484801,9/18/2014,17095.11,4808,10735,84651,111.45,4452.9,29,896.1874138,R876,Chevrolet Bolt EV,31300,106,EV,777.2,,,,,,,7,Baltimore County,0,,,,,,,,,,,,,,,,
779,County Council,31088,2014 FORD FUSION',ICE,10484801,10/30/2014,16707.18,4872.93,18615,83346,1191.85,4146.3,29,1554.031552,R880,Chevrolet Bolt EV,31300,106,EV,777.2,,,,,,,7,Baltimore County,15,,,,,,,,,,,,,,,,
1295,County Council,31660,2018 CHEVROLET IMPALA',ICE,10484801,11/20/2018,21250,15642.36,5134,6311,342.52,448.91,22,564.9733636,R1396,Ford Fusion,36000,103,PHEV,1023.6,,,,,,,3,Baltimore County,0,,,,,,,,,,,,,,,,
1341,County Council,31708,2017 JEEP CHEROKEE',ICE,10484801,9/27/2019,21288,19514,5751,5751,157.03,157.03,23,605.3552609,R1442,Ford Explorer,46000,25,HEV,1198.6,,,,,,,2,Baltimore County,0,,,,,,,,,,,,,,,,
37,County Sheriff,27292,"2005 CHEVROLET VAN,PRISONER TP'",ICE,10181801,3/30/2005,24824,6500,15664,124906,1148.55,14826.87,15,2528.1696,R138,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,16,Baltimore County,16,,,,,,,,,,,,,,,,
50,County Sheriff,27470,"2006 CHEVROLET VAN,PRISONER TP'",ICE,10181801,1/19/2006,25400,7000,11211,116442,1964.83,12752.65,15,1809.4554,R151,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,15,Baltimore County,16,,,,,,,,,,,,,,,,
83,County Sheriff,27625,2007 FORD CROWN VICTORIA',ICE,10181801,2/13/2007,21011,5500,6592,182978,522.41,20318.68,18,886.624,R184,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,14,Baltimore County,0,,,,,,,,,,,,,,,,
92,County Sheriff,27699,2007 FORD CROWN VICTORIA',ICE,10181801,3/23/2007,21011,5500,24050,261297,1539.4,21947.66,18,3234.725,R193,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,14,Baltimore County,16,,,,,,,,,,,,,,,,
93,County Sheriff,27701,2007 FORD CROWN VICTORIA',ICE,10181801,3/23/2007,21011,5500,1549,179104,211.84,11002.03,18,208.3405,R194,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,14,Baltimore County,0,,,,,,,,,,,,,,,,
99,County Sheriff,27738,2007 FORD CROWN VICTORIA',ICE,10181801,3/28/2007,21076,5500,9220,219276,458.14,17426.02,18,1240.09,R200,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,14,Baltimore County,0,,,,,,,,,,,,,,,,
101,County Sheriff,27745,2007 FORD CROWN VICTORIA',ICE,10181801,3/28/2007,21011,5500,10718,201823,1739.57,13375.6,18,1441.571,R202,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,14,Baltimore County,16,,,,,,,,,,,,,,,,
104,County Sheriff,27750,2007 FORD CROWN VICTORIA',ICE,10181801,3/28/2007,21011,5500,9547,183540,506.49,11215.3,18,1284.0715,R205,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,14,Baltimore County,0,,,,,,,,,,,,,,,,
120,County Sheriff,27808,"2007 CHEVROLET VAN,PRISONER TP'",ICE,10181801,4/12/2007,28113,7500,15903,189152,4668.86,24380.64,14,2750.083071,R221,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4,,,,,,,14,Baltimore County,16,,,,,,,,,,,,,,,,
212,County Sheriff,28005,2008 FORD CROWN VICTORIA',ICE,10181801,3/11/2008,21664,6000,12354,190039,1246.98,19911.01,18,1661.613,R313,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,13,Baltimore County,16,,,,,,,,,,,,,,,,
351,County Sheriff,30214,2009 FORD CROWN VICTORIA',ICE,10181801,4/28/2009,22352,6000,8985,157172,952.54,8878.01,19,1144.878158,R452,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,12,Baltimore County,0,,,,,,,,,,,,,,,,
357,County Sheriff,30232,2009 FORD CROWN VICTORIA',ICE,10181801,5/13/2009,22352,6000,8128,184288,522.16,13312.53,19,1035.678316,R458,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,12,Baltimore County,0,,,,,,,,,,,,,,,,
363,County Sheriff,30257,2009 FORD CROWN VICTORIA',ICE,10181801,4/27/2009,22287,6000,11390,113736,1597.84,13619.1,19,1451.325789,R464,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175,,,,,,,12,Baltimore County,16,,,,,,,,,,,,,,,,
